""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"blastx"	"blastp"	"GOterms"	"kegg"
"PladumEVm030309"	-4.61963767052589	3.94962461282064	232.987542853461	1.32992506130698e-52	2.21267865319069e-49	" HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA HES1B_XENLA"	" HES4B_XENLA HES4B_XENLA HES4B_XENLA HES4B_XENLA HES4B_XENLA HES4B_XENLA HES4A_XENLA HES4B_XENLA HES4B_XENLA HES4B_XENLA HES1A_XENLA HES4B_XENLA"	" GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634"	" KEGG:xla:398258 KEGG:xla:398258 KEGG:xla:398258 KEGG:xla:398258 KEGG:xla:398258 KEGG:xla:398258 KEGG:xla:398579 KEGG:xla:398258 KEGG:xla:398258 KEGG:xla:398258 KEGG:xla:397813 KEGG:xla:398258"
"PladumEVm062880"	-5.83724529213454	5.94777757608854	228.611715496146	1.19703868817538e-51	1.90106066937089e-48	" . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . ."
"PladumEVm015580"	9.06895893165675	5.68046181620853	223.377146070551	1.65869602735606e-50	2.51970349999102e-47	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . PKG1_ADECR . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . KEGG:vg:1488950 . . . . . . . . . . . . . . . . . . . . . . . . . ."
"PladumEVm045566"	6.11747903464482	9.30301197974312	222.31597455979	2.82632581633794e-50	4.11454157070963e-47	" GST5_CAEEL GST5_CAEEL GST1_ASCSU HPGDS_CHICK GST1_ASCSU GST_NOTSL GST1_ASCSU GST1_ASCSU GST_NOTSL GST1_ASCSU GST5_CAEEL GST5_CAEEL HPGDS_CHICK GST5_CAEEL SCRY4_ENTDO GST1_ASCSU HPGDS_CHICK GST1_ASCSU HPGDS_CHICK GST1_ASCSU GST1_ASCSU GST1_ASCSU GST1_ASCSU GST_NOTSL"	" SCRY4_ENTDO GST5_CAEEL GST1_ASCSU HPGDS_CHICK GST1_ASCSU GST_NOTSL GST1_ASCSU GST1_ASCSU GST_NOTSL GST1_ASCSU GST5_CAEEL GST5_CAEEL HPGDS_CHICK GST5_CAEEL SCRY4_ENTDO GST1_ASCSU SCR11_NOTSL GST1_ASCSU HPGDS_CHICK GST1_ASCSU GST1_ASCSU GST1_ASCSU GST1_ASCSU ."	" GO:0004364 GO:0004364 GO:0005903 GO:0005829 GO:0005903 GO:0005737 GO:0005903 GO:0005903 GO:0005737 GO:0005903 GO:0004364 GO:0004364 GO:0005829 GO:0004364 GO:0005212 GO:0005903 GO:0005829 GO:0005903 GO:0005829 GO:0005903 GO:0005903 GO:0005903 GO:0005903 GO:0005737"	" KEGG:cel:CELE_R03D7.6 KEGG:cel:CELE_R03D7.6 . KEGG:gga:395863 . . . . . . KEGG:cel:CELE_R03D7.6 KEGG:cel:CELE_R03D7.6 KEGG:gga:395863 KEGG:cel:CELE_R03D7.6 . . KEGG:gga:395863 . KEGG:gga:395863 . . . . ."
"PladumEVm018416"	4.4358884509204	3.66263905188616	220.678674305935	6.43203550462649e-50	8.9891555398458e-47	" FBX4_BOVIN RL37_ICTPU RL371_DROME RL371_DROME RL371_DROME RL371_DROME"	" FBX4_BOVIN FBX4_BOVIN FBX4_MOUSE . FBX4_BOVIN SKP2_MOUSE"	" GO:0005737 GO:0005840 GO:0022625 GO:0022625 GO:0022625 GO:0022625"	" KEGG:bta:534852 KEGG:bta:534852 KEGG:mmu:106052 KEGG:dme:Dmel_CG9091 KEGG:bta:534852 KEGG:mmu:27401"
"PladumEVm086471"	-7.46857291173074	4.04674747730067	218.980162277174	1.50951871457409e-49	2.02850286032709e-46	" . . . ."	" . . . ."	" . . . ."	" . . . ."
"PladumEVm074405"	-9.65976041686864	1.61870319291848	216.893458733278	4.30547350663463e-49	5.57144217956694e-46	" ."	" ."	" ."	" ."
"PladumEVm070357"	4.59464497372875	4.74353589454455	213.041733974339	2.98035379092572e-48	3.7189493250412e-45	" VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL"	" VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL VKT1_ANTEL"	" GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576"	" . . . . . . . ."
"PladumEVm033225"	4.31949889516942	5.60786694936856	209.618590264162	1.66371507051643e-47	2.00443244306116e-44	" . . . . . ."	" . . . . . ."	" . . . . . ."	" . . . . . ."
"PladumEVm025421"	4.39892717400664	4.33348435254734	203.091797953867	4.41730690763249e-46	5.14454286819239e-43	" MAL2_DROVI MAL2_DROVI . RTJK_DROME . . RAB1A_LYMST RAB1A_LYMST RTJK_DROME"	" RTJK_DROME MAL2_DROVI . RTJK_DROME . . RAB1A_LYMST . RTJK_DROME"	" GO:0032450 GO:0032450 . GO:0003964 . . GO:0005783 GO:0005783 GO:0003964"	" . . . . . . . . ."
"PladumEVm092092"	-7.99081833269735	3.16696636643791	201.970716953696	7.75867610641315e-46	8.74452853167642e-43	" . . ."	" . . ."	" . . ."	" . . ."
"PladumEVm044059"	6.06654435780479	4.37834917627479	200.29698348785	1.7989690356791e-45	1.96419309804975e-42	" JDP2_HUMAN ATF3_BOVIN JDP2_HUMAN ."	" FOS_TAKRU FOS_TAKRU FOS_TETFL ."	" GO:0000785 GO:0005634 GO:0000785 ."	" KEGG:hsa:122953 KEGG:bta:515266 KEGG:hsa:122953 ."
"PladumEVm018936"	8.32518580241206	0.788697568069775	189.447135727345	4.19768911901789e-43	4.44433515543534e-40	" ILEU_XENTR ILEU_XENTR"	" ILEU_XENTR SPI2_VACCW"	" GO:0005737 GO:0005737"	" KEGG:xtr:496899 KEGG:vg:3707572"
"PladumEVm024667"	7.27353538290974	3.77432289931637	189.06462894573	5.08750585780772e-43	5.22801079899835e-40	" ARI1_YEAST ARI1_YEAST ARI1_YEAST ARI1_YEAST ARI1_YEAST ARI1_YEAST YGD9_YEAST YGD9_YEAST YGD9_YEAST DFRA_MAIZE DFRA_MAIZE ARI1_YEAST YGD9_YEAST ARI1_YEAST ARI1_YEAST ARI1_YEAST PAR1_ROSHC ARI1_YEAST ARI1_YEAST YGD9_YEAST YGD9_YEAST ANRPN_VITVI PAR1_ROSHC"	" ARI1_YEAST ARI1_YEAST ARI1_YEAST ARI1_YEAST ARI1_YEAST ARI1_YEAST YGD9_YEAST YGD9_YEAST YGD9_YEAST TKPR1_ARATH TKPR1_ARATH ARI1_YEAST YGD9_YEAST ARI1_YEAST ARI1_YEAST ARI1_YEAST PAR1_ROSHC ARI1_YEAST ARI1_YEAST ARI1_YEAST YGD9_YEAST ANRPN_VITVI PAR1_ROSHC"	" GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0045552 GO:0045552 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0016491 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0033729 GO:0016491"	" KEGG:sce:YGL157W KEGG:sce:YGL157W KEGG:sce:YGL157W KEGG:sce:YGL157W KEGG:sce:YGL157W KEGG:sce:YGL157W KEGG:sce:YGL039W KEGG:sce:YGL039W KEGG:sce:YGL039W KEGG:ath:AT4G35420 KEGG:ath:AT4G35420 KEGG:sce:YGL157W KEGG:sce:YGL039W KEGG:sce:YGL157W KEGG:sce:YGL157W KEGG:sce:YGL157W . KEGG:sce:YGL157W KEGG:sce:YGL157W KEGG:sce:YGL157W KEGG:sce:YGL039W . ."
"PladumEVm021990"	-4.80004201448939	6.52732409394301	187.985413434835	8.75152644776355e-43	8.73627378738316e-40	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . ."
"PladumEVm075919"	-7.25877076385148	3.52489510760038	187.485543728557	1.12512640779702e-42	1.09196643227834e-39	" . . ."	" . . ."	" . . ."	" . . ."
"PladumEVm063002"	-5.67085282215391	6.01674103048847	186.2757203463	2.06681801271511e-42	1.95169066341225e-39	" . . . . . . . . . . ."	" . . . . . . . . . . ."	" . . . . . . . . . . ."	" . . . . . . . . . . ."
"PladumEVm012772"	6.64450428013805	2.81142303103529	184.174167373242	5.9441056942475e-42	5.46529233819246e-39	" MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE"	" MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE MOXD1_DANRE"	" GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789 GO:0005789"	" KEGG:dre:570584 KEGG:dre:570584 KEGG:dre:570584 KEGG:dre:570584 KEGG:dre:570584 KEGG:dre:570584 KEGG:dre:570584 KEGG:dre:570584 KEGG:dre:570584"
"PladumEVm005430"	7.55347451476377	2.99193545583951	178.579260824444	9.89992650198938e-41	8.86906492443607e-38	" DEAHB_ARATH DEAHB_ARATH R144A_XENTR R144A_XENTR DEAHB_ARATH DEAHB_ARATH DEAHB_ARATH DEAHB_ARATH DEAHB_ARATH DEAHB_ARATH"	" DEAHB_ARATH DEAHB_ARATH R144A_XENTR R144A_XENTR DEAHB_ARATH DEAHB_ARATH DEAHB_ARATH DEAHB_ARATH DEAHB_ARATH DEAHB_ARATH"	" GO:0009507 GO:0009507 GO:0005737 GO:0005737 GO:0009507 GO:0009507 GO:0009507 GO:0009507 GO:0009507 GO:0009507"	" KEGG:ath:AT4G01020 KEGG:ath:AT4G01020 KEGG:xtr:100124307 KEGG:xtr:100124307 KEGG:ath:AT4G01020 KEGG:ath:AT4G01020 KEGG:ath:AT4G01020 KEGG:ath:AT4G01020 KEGG:ath:AT4G01020 KEGG:ath:AT4G01020"
"PladumEVm032615"	4.83903349882861	3.43073478810257	178.160987828162	1.22169401464403e-40	1.06711917944119e-37	" FAXC_XENTR FAXC_XENTR FAXC_XENTR"	" FAXC_XENTR FAXC_XENTR FAXC_XENTR"	" GO:0005737 GO:0005737 GO:0005737"	" . . ."
"PladumEVm024181"	3.5689034246041	6.60217972558428	175.341845296187	5.04146620922081e-40	4.29618994838941e-37	" FOSL_DROYA FOSL_DROYA . . FOSL_DROYA FOSL_DROYA FOSL_DROYA FOSL_DROYA . . . . . . FOSL_DROYA . . FOSL_DROYA FOSL_DROYA FOSL_DROYA FOSL_DROYA FOSL_DROYA FOSL_DROYA FOSL1_RAT ."	" FOS_CYPCA FOS_CYPCA FOSL_DROER . FOS_CYPCA FOS_CYPCA FOS_CYPCA FOS_CYPCA FOSL_DROER FOSL1_RAT FOSL_DROER FOSL1_RAT FOSL1_RAT FOSL_DROER FOS_CYPCA FOSL_DROER . FOS_CYPCA FOSL_DROMO FOS_CYPCA FOS_CYPCA FOS_CYPCA FOS_CYPCA FOSL1_RAT ."	" GO:0005634 GO:0005634 . . GO:0005634 GO:0005634 GO:0005634 GO:0005634 . . . . . . GO:0005634 . . GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005829 ."	" KEGG:dya:Dyak_GE23884 KEGG:dya:Dyak_GE23884 KEGG:der:6554552 . KEGG:dya:Dyak_GE23884 KEGG:dya:Dyak_GE23884 KEGG:dya:Dyak_GE23884 KEGG:dya:Dyak_GE23884 KEGG:der:6554552 KEGG:rno:25445 KEGG:der:6554552 KEGG:rno:25445 KEGG:rno:25445 KEGG:der:6554552 KEGG:dya:Dyak_GE23884 KEGG:der:6554552 . KEGG:dya:Dyak_GE23884 KEGG:dmo:Dmoj_GI10426 KEGG:dya:Dyak_GE23884 KEGG:dya:Dyak_GE23884 KEGG:dya:Dyak_GE23884 KEGG:dya:Dyak_GE23884 KEGG:rno:25445 ."
"PladumEVm016416"	3.94848460862988	4.27073625857279	173.949900634562	1.01513832053186e-39	8.44474232882444e-37	" CP2J2_HUMAN CP2BB_CANLF CP2J2_HUMAN CP2J2_HUMAN CP2G1_RAT CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2U1_HUMAN CP2U1_HUMAN"	" CP2J2_HUMAN CP2BB_CANLF CP2J2_HUMAN CP2J2_HUMAN CP2G1_RAT CP2U1_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2U1_HUMAN CP2U1_HUMAN"	" GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737"	" KEGG:hsa:1573 KEGG:cfa:474177 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:rno:25251 KEGG:hsa:113612 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:113612 KEGG:hsa:113612"
"PladumEVm010603"	4.85388243380472	2.03093023675434	173.747615423988	1.12383030030764e-39	9.13151322382525e-37	" RN216_MOUSE"	" RN216_MOUSE"	" GO:0005829"	" KEGG:mmu:108086"
